Page,Solute,Solute_type,Solvent,Solvent_formula,MN_symbol,MN,MW_symbol,MW,MV_symbol,MV,per composition,per substitution,Tg_symbol,Tg (K),Note,T (K),Vg (cm3/g),chi_inf,omega_inf,U/C,Ref,calc_omega_inf
1,Alkyd resin,Homopolymer,"Methane, trichloro",CHCl3,,,a,2500,,,,,<,298.15,,323.2,120.8,,,,2,2.33
1,Alkyd resin,Homopolymer,"Methane, trichloro",CHCl3,,,a,2500,,,,,<,298.15,,348.2,50.2,,,,2,2.55
1,Alkyd resin,Homopolymer,"Methane, trichloro",CHCl3,,,a,2500,,,,,<,298.15,,373.2,24,,,,2,2.77
1,Alkyd resin,Homopolymer,"Methane, trichloro",CHCl3,,,a,2500,,,,,<,298.15,,398.2,14.1,,,,2,2.72
1,Alkyd resin,Homopolymer,"Methane, trichloro",CHCl3,,,a,2500,,,,,<,298.15,,423.2,7.9,,,,2,3.04
1,Alkyd resin,Homopolymer,"Acetic acid, nitrile",C2H3N,,,a,2500,,,,,<,298.15,,373.2,30,,,,2,11.8
1,Alkyd resin,Homopolymer,"Acetic acid, nitrile",C2H3N,,,a,2500,,,,,<,298.15,,398.2,16.7,,,,2,11.5
1,Alkyd resin,Homopolymer,"Acetic acid, nitrile",C2H3N,,,a,2500,,,,,<,298.15,,423.2,10,,,,2,11.4
1,Alkyd resin,Homopolymer,"Acetic acid, nitrile",C2H3N,,,a,2500,,,,,<,298.15,,448.2,6.5,,,,2,11.3
1,Alkyd resin,Homopolymer,"Acetic acid, nitrile",C2H3N,,,a,2500,,,,,<,298.15,,473.2,4.4,,,,2,11.4
1,Alkyd resin,Homopolymer,"Ethane, 1,2-dichloro",C2H4Cl2,,,a,2500,,,,,<,298.15,,323.2,188.6,,,,2,3.96
1,Alkyd resin,Homopolymer,"Ethane, 1,2-dichloro",C2H4Cl2,,,a,2500,,,,,<,298.15,,348.2,76.6,,,,2,4
1,Alkyd resin,Homopolymer,"Ethane, 1,2-dichloro",C2H4Cl2,,,a,2500,,,,,<,298.15,,373.2,36.2,,,,2,4.01
1,Alkyd resin,Homopolymer,"Ethane, 1,2-dichloro",C2H4Cl2,,,a,2500,,,,,<,298.15,,398.2,20.9,,,,2,3.69
1,Alkyd resin,Homopolymer,"Ethane, 1,2-dichloro",C2H4Cl2,,,a,2500,,,,,<,298.15,,423.2,11.8,,,,2,3.81
1,Alkyd resin,Homopolymer,"Formic acid, amide, N,N-dimethyl",C3H7NO,,,a,2500,,,,,<,298.15,,373.2,780.3,,,,2,1.93
1,Alkyd resin,Homopolymer,"Formic acid, amide, N,N-dimethyl",C3H7NO,,,a,2500,,,,,<,298.15,,398.2,273.7,,,,2,2.45
1,Alkyd resin,Homopolymer,"Formic acid, amide, N,N-dimethyl",C3H7NO,,,a,2500,,,,,<,298.15,,423.2,109.4,,,,2,3.14
1,Alkyd resin,Homopolymer,"Formic acid, amide, N,N-dimethyl",C3H7NO,,,a,2500,,,,,<,298.15,,448.2,54.8,,,,2,3.56
1,Alkyd resin,Homopolymer,"Formic acid, amide, N,N-dimethyl",C3H7NO,,,a,2500,,,,,<,298.15,,473.2,28.5,,,,2,4.22
1,Alkyd resin,Homopolymer,2-Propanol,C3H8O,,,a,2500,,,,,<,298.15,,373.2,21.4,,,,2,9.65
2,Alkyd resin,Homopolymer,2-Propanol,C3H8O,,,a,2500,,,,,<,298.15,,398.2,10.6,,,,2,9.08
2,Alkyd resin,Homopolymer,2-Propanol,C3H8O,,,a,2500,,,,,<,298.15,,423.2,5.7,,,,2,9.01
2,Alkyd resin,Homopolymer,2-Propanol,C3H8O,,,a,2500,,,,,<,298.15,,448.2,3.6,,,,2,8.52
2,Alkyd resin,Homopolymer,2-Propanol,C3H8O,,,a,2500,,,,,<,298.15,,473.2,2.5,,,,2,8.07
2,Alkyd resin,Homopolymer,"Ethanol, 2-methoxy",C3H8O2,,,a,2500,,,,,<,298.15,,373.2,107.9,,,,2,6.29
2,Alkyd resin,Homopolymer,"Ethanol, 2-methoxy",C3H8O2,,,a,2500,,,,,<,298.15,,398.2,46.8,,,,2,6.39
