Solvent,Solvent_formula,Solvent_SMILES,Correct_formula,InChi,InChiKey
"Methane, trichloro",CHCl3,ClC(Cl)Cl,Yes,InChI=1S/CHCl3/c2-1(3)4/h1H,HEDRZPFGACZZDS-UHFFFAOYSA-N
"Acetic acid, nitrile",C2H3N,CC#N,Yes,InChI=1S/C2H3N/c1-2-3/h1H3,WEVYAHXRMPXWCK-UHFFFAOYSA-N
"Ethane, 1,2-dichloro",C2H4Cl2,ClCCCl,Yes,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,WSLDOOZREJYCGB-UHFFFAOYSA-N
"Formic acid, amide, N,N-dimethyl",C3H7NO,CN(C)C=O,Yes,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",ZMXDDKWLCZADIW-UHFFFAOYSA-N
2-Propanol,C3H8O,CC(C)O,Yes,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",KFZMGEQAYNKOFK-UHFFFAOYSA-N
"Ethanol, 2-methoxy",C3H8O2,COCCO,Yes,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",XNWFRZJHXBZDAG-UHFFFAOYSA-N
2-Butanone,C4H8O,CCC(C)=O,Yes,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",ZWEHNKRNPOVVGH-UHFFFAOYSA-N
"Acetic acid, ethyl ester",C4H8O2,CCOC(C)=O,Yes,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",XEKOWRVHYACXOJ-UHFFFAOYSA-N
1-Butanol,C4H10O,CCCCO,Yes,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N
"Ethanol, 2-ethoxy",C4H10O2,CCOCCO,Yes,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",ZNQVEEAIQZEUHB-UHFFFAOYSA-N
Benzene,C6H6,c1ccccc1,Yes,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,UHOVQNZJYSORNB-UHFFFAOYSA-N
Cyclohexanone,C6H10O,O=C1CCCCC1,Yes,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,JHIVVAPYMSGYDF-UHFFFAOYSA-N
Cyclohexane,C6H12,C1CCCCC1,Yes,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,XDTMQSROBMDMFD-UHFFFAOYSA-N
"2-Pentanone, 4-methyl",C6H12O,CC(=O)CC(C)C,Yes,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",NTIZESTWPVYFNL-UHFFFAOYSA-N
"Acetic acid, butyl ester",C6H12O2,CCCCOC(C)=O,Yes,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",DKPFZGUDAPQIHT-UHFFFAOYSA-N
Hexane,C6H14,CCCCCC,Yes,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",VLKZOEOYAKHREP-UHFFFAOYSA-N
Toluene,C7H8,Cc1ccccc1,Yes,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",YXFVVABEGXRONW-UHFFFAOYSA-N
Ethanol,C2H6O,CCO,Yes,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N
"Propane, 2-nitro",C3H7NO2,CC(C)[N+](=O)[O-],Yes,"InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3",FGLBSLMDCBOPQK-UHFFFAOYSA-N
"Furane, tetrahydro",C4H8O,C1CCOC1,Yes,InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2,WYURNTSHIVDZCO-UHFFFAOYSA-N
Methanol,CH4O,CO,Yes,"InChI=1S/CH4O/c1-2/h2H,1H3",OKKJLVBELUTLKV-UHFFFAOYSA-N
"1,2-Ethanediol",C2H6O2,OCCO,Yes,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",LYCAIKOWRPUZTN-UHFFFAOYSA-N
"Acetic acid, amide, N,N-dimethyl",C4H9NO,CC(=O)N(C)C,Yes,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,FXHOOIRPVKKKFG-UHFFFAOYSA-N
Aniline,C6H7N,Nc1ccccc1,Yes,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",PAYRUJLWNCNPSJ-UHFFFAOYSA-N
Benzaldehyde,C7H6O,O=Cc1ccccc1,Yes,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,HUMNYLRZRPPJDN-UHFFFAOYSA-N
"Benzene, butyl",C10H14,CCCCc1ccccc1,Yes,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3",OCKPCBLVNKHBMX-UHFFFAOYSA-N
Dodecane,C12H26,CCCCCCCCCCCC,Yes,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",SNRUBQQJIBEYMU-UHFFFAOYSA-N
Tetradecane,C14H30,CCCCCCCCCCCCCC,Yes,"InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",BGHCVCJVXZWKCC-UHFFFAOYSA-N
Hexadecane,C16H34,CCCCCCCCCCCCCCCC,Yes,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",DCAYPVUWAIABOU-UHFFFAOYSA-N
"1,4-Dioxane",C4H8O2,C1COCCO1,Yes,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,RYHBNJHYFVUHQT-UHFFFAOYSA-N
"Benzene, 1,2-dichloro",C6H4Cl2,Clc1ccccc1Cl,Yes,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,RFFLAFLAYFXFSW-UHFFFAOYSA-N
"Benzene, chloro",C6H5Cl,Clc1ccccc1,Yes,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,MVPPADPHJFYWMZ-UHFFFAOYSA-N
"Benzene, 1,4-dimethyl",C8H10,Cc1ccc(C)cc1,Yes,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",URLKBWYHVLBVBO-UHFFFAOYSA-N
"Benzene, ethyl",C8H10,CCc1ccccc1,Yes,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",YNQLUTRBYVCPMQ-UHFFFAOYSA-N
"Diethyleneglycol, diethyl ether",C8H18O3,CCOCCOCCOCC,Yes,"InChI=1S/C8H18O3/c1-3-9-5-7-11-8-6-10-4-2/h3-8H2,1-2H3",RRQYJINTUHWNHW-UHFFFAOYSA-N
Tetralin,C10H12,c1ccc2c(c1)CCCC2,Yes,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",CXWXQJXEFPUFDZ-UHFFFAOYSA-N
"Methane, tetrachloro",CCl4,ClC(Cl)(Cl)Cl,Yes,"InChI=1S/CCl4/c2-1(3,4)5",VZGDMQKNWNREIO-UHFFFAOYSA-N
"Methane, dichloro",CH2Cl2,ClCCl,Yes,InChI=1S/CH2Cl2/c2-1-3/h1H2,YMWUJEATGCHHMB-UHFFFAOYSA-N
2-Propanone,C3H6O,CC(C)=O,Yes,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,CSCPPACGZOOCGX-UHFFFAOYSA-N
"Formic acid, ethyl ester",C3H6O2,CCOC=O,Yes,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",WBJINCZRORDGAQ-UHFFFAOYSA-N
1-Propanol,C3H8O,CCCO,Yes,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",BDERNNFJNOPAEC-UHFFFAOYSA-N
Pentane,C5H12,CCCCC,Yes,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",OFBQJSOFQDEBGM-UHFFFAOYSA-N
Benzyl alcohol,C7H8O,OCc1ccccc1,Yes,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",WVDDGKGOMKODPV-UHFFFAOYSA-N
Heptane,C7H16,CCCCCCC,Yes,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",IMNFDUFMRHMDMM-UHFFFAOYSA-N
"Butane, 1-chloro",C4H9Cl,CCCCCl,Yes,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",VFWCMGCRMGJXDK-UHFFFAOYSA-N
1-Octene,C8H16,C=CCCCCCC,Yes,"InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3",KWKAKUADMBZCLK-UHFFFAOYSA-N
Octane,C8H18,CCCCCCCC,Yes,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",TVMXDCGIABBOFY-UHFFFAOYSA-N
Butyl acrylate,C7H12O2,C=CC(=O)OCCCC,Yes,"InChI=1S/C7H12O2/c1-3-5-6-9-7(8)4-2/h4H,2-3,5-6H2,1H3",CQEYYJKEWSMYFG-UHFFFAOYSA-N
"Ethene, trichloro",C2HCl3,ClC=C(Cl)Cl,Yes,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,XSTXAVWGXDQKEL-UHFFFAOYSA-N
Acetic acid,C2H4O2,CC(=O)O,Yes,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N
2-Pentanone,C5H10O,CCCC(C)=O,Yes,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",XNLICIUVMPYHGG-UHFFFAOYSA-N
Phenol,C6H6O,Oc1ccccc1,Yes,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N
Cyclohexanol,C6H12O,OC1CCCCC1,Yes,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",HPXRVTGHNJAIIH-UHFFFAOYSA-N
"Heptane, 2-methyl",C8H18,CCCCCC(C)C,Yes,"InChI=1S/C8H18/c1-4-5-6-7-8(2)3/h8H,4-7H2,1-3H3",JVSWJIKNEAIKJW-UHFFFAOYSA-N
"Pentane, 2,2,4-trimethyl",C8H18,CC(C)CC(C)(C)C,Yes,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",NHTMVDHEPJAVLT-UHFFFAOYSA-N
Nonane,C9H20,CCCCCCCCC,Yes,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",BKIMMITUMNQMOS-UHFFFAOYSA-N
"Benzene, tert-butyl",C10H14,CC(C)(C)c1ccccc1,Yes,"InChI=1S/C10H14/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3",YTZKOQUCBOVLHL-UHFFFAOYSA-N
"Cyclohexane, butyl",C10H20,CCCCC1CCCCC1,Yes,"InChI=1S/C10H20/c1-2-3-7-10-8-5-4-6-9-10/h10H,2-9H2,1H3",GGBJHURWWWLEQH-UHFFFAOYSA-N
Decane,C10H22,CCCCCCCCCC,Yes,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",DIOQZVSQGTUSAI-UHFFFAOYSA-N
